ID,Dept,Q1,Q2,Q3,Q4,Q5,Q6,Q8_sent,Gender
20211303101,Biotechnology,A,A,A,A,A,A,positive,male
20211303102,Biotechnology,A,A,A,B,B,A,neutral,male
20211303104,Biotechnology,A,A,B,B,B,A,positive,male
20211303105,Biotechnology,A,A,A,B,A,A,positive,male
20211303106,Biotechnology,A,B,B,B,B,B,positive,male
20211303107,Biotechnology,A,A,A,A,A,A,positive,male
20211303108,Biotechnology,A,A,A,B,B,A,positive,male
20211303109,Biotechnology,B,B,B,B,A,B,positive,male
20211303110,Biotechnology,B,B,B,B,B,B,neutral,male
20211303111,Biotechnology,A,B,B,B,B,B,positive,male
20211303112,Biotechnology,A,A,B,B,B,A,positive,male
20211303114,Biotechnology,A,B,B,B,B,A,positive,male
20211303116,Biotechnology,A,A,A,A,A,A,positive,male
20211303117,Biotechnology,A,B,A,B,B,A,positive,female
20211303118,Biotechnology,A,B,B,B,B,A,positive,female
20211303119,Biotechnology,A,A,A,B,B,A,positive,female
20211303120,Biotechnology,A,A,B,A,A,B,neutral,female
20211303121,Biotechnology,A,B,A,B,B,B,positive,female
20211303122,Biotechnology,A,A,A,A,A,A,positive,female
20211303123,Biotechnology,B,B,B,B,B,B,negative,female
20211303124,Biotechnology,A,A,A,A,A,A,positive,female
20211303125,Biotechnology,A,A,A,A,A,A,positive,female
20211303126,Biotechnology,A,A,B,B,B,A,positive,female
20211303127,Biotechnology,A,A,B,B,B,A,positive,female
20211303128,Biotechnology,A,A,A,B,A,A,positive,female
20211303130,Biotechnology,A,A,B,B,B,B,positive,female
20201895229,Biotechnology,A,A,B,A,B,B,neutral,female
20211303207,Biotechnology,A,A,A,A,A,A,positive,male
20211303208,Biotechnology,A,A,A,A,A,A,positive,male
20211303210,Biotechnology,A,A,B,B,B,A,positive,male
20211303213,Biotechnology,B,A,B,B,A,A,positive,male
20211303215,Biotechnology,A,A,A,A,A,A,positive,male
20211303216,Biotechnology,B,B,B,B,B,B,positive,female
20211303217,Biotechnology,A,A,B,B,B,A,neutral,female
20211303218,Biotechnology,B,B,B,B,B,B,positive,female
20211303219,Biotechnology,A,A,A,B,A,A,positive,female
20211303220,Biotechnology,B,B,B,A,C,A,neutral,female
20211303221,Biotechnology,A,A,B,B,B,B,positive,female
20211303222,Biotechnology,A,A,B,A,B,A,positive,female
20211303223,Biotechnology,A,B,B,B,A,A,neutral,female
20211303224,Biotechnology,A,A,A,A,A,A,positive,female
20211303225,Biotechnology,A,A,A,B,B,A,positive,female
20211303226,Biotechnology,A,B,A,A,B,A,positive,female
20211303227,Biotechnology,A,B,B,B,A,A,positive,female
20211303228,Biotechnology,B,B,B,A,C,A,positive,female
20211303229,Biotechnology,A,A,A,A,A,A,positive,female
20211303303,Biotechnology,A,A,A,A,A,A,positive,male
20211303305,Biotechnology,A,A,A,B,B,B,positive,male
20211303306,Biotechnology,B,B,B,B,B,B,positive,male
20211303307,Biotechnology,B,B,B,B,B,A,neutral,male
20211303308,Biotechnology,A,A,B,B,C,C,negative,male
20211303309,Biotechnology,B,B,B,A,B,A,neutral,male
20211303310,Biotechnology,A,A,A,A,A,A,positive,male
20211303311,Biotechnology,A,A,B,B,B,A,positive,male
20211303312,Biotechnology,A,A,B,B,B,C,negative,male
20211303313,Biotechnology,A,A,B,B,B,B,positive,male
20211303314,Biotechnology,A,B,B,B,B,B,positive,male
20211303315,Biotechnology,A,A,B,B,B,B,positive,male
20211303317,Biotechnology,A,A,A,A,A,A,positive,female
20211303318,Biotechnology,A,A,B,B,B,A,positive,female
20211303319,Biotechnology,A,A,A,B,A,B,neutral,female
20211303320,Biotechnology,A,A,B,A,A,A,positive,female
20211303321,Biotechnology,A,A,B,B,B,A,neutral,female
20211303322,Biotechnology,A,A,B,B,B,B,positive,female
20211303323,Biotechnology,A,A,B,B,A,A,positive,female
20211303324,Biotechnology,A,A,A,B,B,A,positive,female
20211303326,Biotechnology,B,A,B,B,B,A,positive,female
20211303328,Biotechnology,A,C,B,C,B,B,positive,female
20211303329,Biotechnology,A,A,B,B,B,A,positive,female
20211303330,Biotechnology,A,A,B,A,A,A,positive,female
20211306105,Bioinformatics,A,A,B,B,C,A,positive,male
20211306106,Bioinformatics,A,A,A,A,A,A,positive,male
20211306108,Bioinformatics,A,A,B,B,B,A,positive,male
20211306110,Bioinformatics,A,A,A,B,B,A,positive,male
20211306111,Bioinformatics,A,A,A,A,A,A,positive,male
20211306118,Bioinformatics,B,B,B,B,C,C,positive,female
20211306119,Bioinformatics,A,B,B,B,B,B,positive,female
20211306124,Bioinformatics,A,A,A,A,A,A,positive,female
20211306125,Bioinformatics,A,A,A,A,A,A,positive,female
20211306126,Bioinformatics,A,A,B,B,B,B,neutral,female
20211306127,Bioinformatics,A,A,A,B,A,A,positive,female
20211306130,Bioinformatics,B,B,B,B,B,B,neutral,female
20221309101,Biotechnology,A,A,A,A,B,A,neutral,male
20221309105,Biotechnology,A,B,A,C,B,A,positive,male
20221309109,Biotechnology,A,A,A,B,B,B,neutral,male
